epoch, time    , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1,  1826.62,        1.64673,        1.72668,        1.69126,              0.51242,           0.46007,          0.48083,             0.22042,      1.74318,      1.58299,      1.81009, 0.000474831, 0.000474831, 0.000474831
    2,  2476.51,        1.66652,        1.73573,        1.70779,              0.52899,           0.39376,          0.42388,             0.19341,      1.8413 ,      1.75857,      1.84784, 0.000919776, 0.000919776, 0.000919776
    3,  3158.19,        1.66975,        1.72065,        1.6992 ,              0.52777,           0.3667 ,          0.39083,             0.1766 ,      1.77661,      1.7062 ,      1.86963, 0.00133328 , 0.00133328 , 0.00133328
    4,  3889.58,        1.6665 ,        1.72033,        1.71322,              0.60617,           0.36926,          0.44177,             0.19718,      1.77837,      1.57858,      1.80513, 0.00128753 , 0.00128753 , 0.00128753
    5,  4618.16,        1.65763,        1.68679,        1.6926 ,              0.54889,           0.48453,          0.49475,             0.23221,      1.74531,      1.4631 ,      1.78301, 0.00124037 , 0.00124037 , 0.00124037
    6,  5317.95,        1.63358,        1.60938,        1.67113,              0.56915,           0.41956,          0.43823,             0.20666,      1.69928,      1.45158,      1.79922, 0.00119322 , 0.00119322 , 0.00119322
    7,  6023   ,        1.60735,        1.57644,        1.649  ,              0.49726,           0.48174,          0.469  ,             0.22645,      1.66776,      1.4287 ,      1.72928, 0.00114606 , 0.00114606 , 0.00114606
    8,  6719.16,        1.58728,        1.56481,        1.63479,              0.66135,           0.57091,          0.62809,             0.29365,      1.69303,      1.32463,      1.75413, 0.0010989  , 0.0010989  , 0.0010989
    9,  7402.66,        1.57162,        1.50988,        1.6249 ,              0.69985,           0.601  ,          0.65163,             0.32487,      1.62449,      1.3007 ,      1.707  , 0.00105174 , 0.00105174 , 0.00105174
   10,  8090.57,        1.56267,        1.45936,        1.61525,              0.69045,           0.62702,          0.66161,             0.33485,      1.61185,      1.19596,      1.65669, 0.00100459 , 0.00100459 , 0.00100459
   11,  8750.25,        1.52622,        1.44898,        1.5942 ,              0.74085,           0.63884,          0.69599,             0.34133,      1.58717,      1.20306,      1.63595, 0.00095743 , 0.00095743 , 0.00095743
   12,  9414.92,        1.53218,        1.3896 ,        1.58273,              0.71475,           0.64171,          0.70057,             0.35282,      1.62671,      1.19718,      1.67125, 0.000910273, 0.000910273, 0.000910273
   13, 10136   ,        1.50726,        1.35605,        1.55664,              0.70333,           0.62839,          0.66488,             0.34166,      1.63279,      1.20642,      1.68458, 0.000863116, 0.000863116, 0.000863116
   14, 10918.1 ,        1.49146,        1.32948,        1.54983,              0.707  ,           0.59358,          0.65979,             0.33847,      1.5654 ,      1.15793,      1.61995, 0.000815959, 0.000815959, 0.000815959
   15, 11703.9 ,        1.47411,        1.30476,        1.54608,              0.66715,           0.66941,          0.67949,             0.35167,      1.56582,      1.11911,      1.61201, 0.000768802, 0.000768802, 0.000768802
   16, 12511.9 ,        1.45881,        1.28155,        1.52467,              0.78712,           0.69415,          0.75958,             0.40297,      1.54507,      1.06732,      1.57787, 0.000721645, 0.000721645, 0.000721645
   17, 13336.3 ,        1.45781,        1.25123,        1.52334,              0.71813,           0.71419,          0.75573,             0.42301,      1.49635,      1.05545,      1.54218, 0.000674488, 0.000674488, 0.000674488
   18, 14123.7 ,        1.42876,        1.21561,        1.50417,              0.75533,           0.72835,          0.77322,             0.42425,      1.52017,      1.01601,      1.56991, 0.000627331, 0.000627331, 0.000627331
   19, 18517.8 ,        1.42632,        1.18919,        1.50505,              0.76545,           0.74292,          0.77985,             0.42085,      1.49555,      0.97533,      1.54219, 0.000580174, 0.000580174, 0.000580174
   20, 20506.3 ,        1.40553,        1.16434,        1.48253,              0.79181,           0.69425,          0.77508,             0.41931,      1.49623,      0.97096,      1.53211, 0.000533017, 0.000533017, 0.000533017
   21, 21295.4 ,        1.45122,        1.02705,        1.53741,              0.78504,           0.71587,          0.78198,             0.43864,      1.46589,      0.9393 ,      1.50522, 0.00048586 , 0.00048586 , 0.00048586
   22, 22091.2 ,        1.40905,        0.96081,        1.50658,              0.78788,           0.74733,          0.80141,             0.45388,      1.47346,      0.93207,      1.52482, 0.000438703, 0.000438703, 0.000438703
   23, 22707.6 ,        1.39764,        0.9385 ,        1.49969,              0.79747,           0.75488,          0.81891,             0.46128,      1.44026,      0.89558,      1.49505, 0.000391546, 0.000391546, 0.000391546
   24, 23323.9 ,        1.36348,        0.90063,        1.47003,              0.81885,           0.75702,          0.83115,             0.48565,      1.42674,      0.86048,      1.4765 , 0.000344389, 0.000344389, 0.000344389
   25, 23929.5 ,        1.35201,        0.8794 ,        1.45922,              0.84413,           0.74628,          0.83774,             0.48806,      1.42875,      0.84359,      1.48041, 0.000297232, 0.000297232, 0.000297232
   26, 24513.3 ,        1.33185,        0.85063,        1.44044,              0.83036,           0.77345,          0.82756,             0.49107,      1.40509,      0.83748,      1.46113, 0.000250075, 0.000250075, 0.000250075
   27, 25098.6 ,        1.30979,        0.83699,        1.42458,              0.82213,           0.78814,          0.84179,             0.5002 ,      1.39066,      0.8082 ,      1.44779, 0.000202918, 0.000202918, 0.000202918
   28, 25670.1 ,        1.2864 ,        0.82062,        1.40904,              0.82968,           0.76731,          0.84581,             0.49841,      1.38817,      0.80578,      1.44205, 0.000155761, 0.000155761, 0.000155761
   29, 26232.4 ,        1.27258,        0.79332,        1.39917,              0.80653,           0.79977,          0.84582,             0.50324,      1.38032,      0.7947 ,      1.44019, 0.000108604, 0.000108604, 0.000108604
   30, 26800.7 ,        1.254  ,        0.78252,        1.39073,              0.83952,           0.77656,          0.84405,             0.51061,      1.37771,      0.78621,      1.44058, 6.1447e-05 , 6.1447e-05 , 6.1447e-05
